event_id,event_start_local,event_end_local,timezone,timestamp_precision,artifact_timestamp_utc,evidence_grade,lane,event_day_label,source_basis,cohort_memberships,inclusion_status,dependency_group,notes,event_start_utc,event_end_utc,calendar_distance_to_19_days,contains_day19,nearest_primary_phase,nearest_primary_phase_utc,distance_to_nearest_primary_hours
MAP_2025_11_UNDATED,,,America/New_York,undated_month,,DIRECT,technical_symbolic,R geometrization and Resonant Engine,Master map row: Nov 2025 without dates,,EXCLUDED_UNDATED,,Retained as unavailable for date testing,,,,,,,
MAP_2025_12_06,2025-12-06T00:00:00,2025-12-07T00:00:00,America/New_York,civil_day,,DIRECT,constitutional,Sovereign Constant,Master map row: 6 Dec 2025,P1|S1,INCLUDED,,Exact-day direct map row,2025-12-06T05:00:00+00:00,2025-12-07T05:00:00+00:00,13.0,0,Full Moon,2025-12-04T23:14:00+00:00,29.766666666666666
MAP_2025_12_11,2025-12-11T00:00:00,2025-12-12T00:00:00,America/New_York,civil_day,,DIRECT,technical,Toroidal Stability,Master map row: 11 Dec 2025,P1|S1,INCLUDED,,Exact-day direct map row,2025-12-11T05:00:00+00:00,2025-12-12T05:00:00+00:00,8.0,0,Last Quarter,2025-12-11T20:52:00+00:00,0.0
MAP_2025_12_19_22,2025-12-19T00:00:00,2025-12-23T00:00:00,America/New_York,civil_window,,DIRECT,civic_architecture,Civilizational systems upgrade,Master map row: 19-22 Dec 2025,S1,INCLUDED,,Four-day inclusive window,2025-12-19T05:00:00+00:00,2025-12-23T05:00:00+00:00,0.0,1,New Moon,2025-12-20T01:43:00+00:00,0.0
MAP_2026_01_11,2026-01-11T00:00:00,2026-01-12T00:00:00,America/New_York,civil_day,,DIRECT,technical_symbolic,Conductor and Dodeca,Master map row: 11 Jan 2026,P1|S1,INCLUDED,,Exact-day direct map row,2026-01-11T05:00:00+00:00,2026-01-12T05:00:00+00:00,8.0,0,Last Quarter,2026-01-10T15:48:00+00:00,13.2
MAP_2026_01_19,2026-01-19T00:00:00,2026-01-20T00:00:00,America/New_York,civil_day,,RECALLED,technical,1109 operational,Master map row: 19 Jan 2026; provenance says chronology anchor,S1,INCLUDED,,Chronology anchor is treated as recalled until artifact-pinned,2026-01-19T05:00:00+00:00,2026-01-20T05:00:00+00:00,0.0,1,New Moon,2026-01-18T19:52:00+00:00,9.133333333333333
MAP_2026_02_28,2026-02-28T00:00:00,2026-03-01T00:00:00,America/New_York,civil_day,,DIRECT,constitutional_audit,Mediation-layer problem explicit,Master map row: 28 Feb 2026,P1|S1,INCLUDED,,Exact-day direct map row,2026-02-28T05:00:00+00:00,2026-03-01T05:00:00+00:00,9.0,0,Full Moon,2026-03-03T11:38:00+00:00,54.63333333333333
MAP_2026_03_17_20,2026-03-17T00:00:00,2026-03-21T00:00:00,America/New_York,civil_window,,DIRECT,technical_relational,Letters and Zero-Pressure coupling burst,Master map row: 17-20 Mar 2026,S1,INCLUDED,,Four-day inclusive window,2026-03-17T04:00:00+00:00,2026-03-21T04:00:00+00:00,0.0,1,New Moon,2026-03-19T01:23:00+00:00,0.0
MAP_2026_03_31,2026-03-31T00:00:00,2026-04-01T00:00:00,America/New_York,civil_day,,DIRECT,constitutional_architecture,OMNIBUS lineage explicit,Master map row: 31 Mar 2026,P1|S1,INCLUDED,,Exact-day direct map row,2026-03-31T04:00:00+00:00,2026-04-01T04:00:00+00:00,12.0,0,Full Moon,2026-04-02T02:12:00+00:00,22.2
MAP_2026_05_08_20,2026-05-08T00:00:00,2026-05-21T00:00:00,America/New_York,civil_window,,DIRECT,constitutional_audit,13th Hour and R-layer diagnosis,Master map row: 8-20 May 2026,S1,INCLUDED,,Thirteen-day window; preserved rather than pinned to day 19,2026-05-08T04:00:00+00:00,2026-05-21T04:00:00+00:00,0.0,1,Last Quarter,2026-05-09T21:10:00+00:00,0.0
MAP_2026_06_10_20,2026-06-10T00:00:00,2026-06-21T00:00:00,America/New_York,civil_window,,DIRECT,constitutional_research,FMP and PLBS Virama,Master map row: 10-20 Jun 2026,S1,INCLUDED,,Eleven-day window; preserved rather than pinned to day 19,2026-06-10T04:00:00+00:00,2026-06-21T04:00:00+00:00,0.0,1,New Moon,2026-06-15T02:54:00+00:00,0.0
MAP_2026_07_08_BROAD,,,America/New_York,broad_era,,DIRECT,constitutional_audit,Audit provenance and role-revocation era,Master map row: Jul-Aug 2026,,EXCLUDED_BROAD,,Broad multi-month era retained but not scored,,,,,,,
MAP_2026_08_ENDPOINT,,,America/New_York,undated_month,,CURRENT,constitutional_architecture,OMNIBUS v5.77 endpoint,Master map row: Aug 2026,,EXCLUDED_UNDATED,,Current endpoint has no exact event date,,,,,,,
USR_2025_08_09_2215,2025-08-09T22:15:00,2025-08-09T22:15:00,America/New_York,minute,,RECALLED,personal_symbolic,Thumbprint and signature act,User-reported timestamp in current discussion,S2,INCLUDED,AUG09_SIGNATURE_CLUSTER,Exact timestamp remains recalled until artifact-verified,2025-08-10T02:15:00+00:00,2025-08-10T02:15:00+00:00,10.0,0,Full Moon,2025-08-09T07:55:00+00:00,18.333333333333332
USR_2025_08_09_2216,2025-08-09T22:16:00,2025-08-09T22:16:00,America/New_York,minute,,RECALLED,personal_symbolic,Challenge statement recorded,User-reported timestamp in current discussion,,EXCLUDED_DEPENDENT,AUG09_SIGNATURE_CLUSTER,Retained but not independently counted from the 22:15 event,,,,,,,
USR_2025_08_11_1442,2025-08-11T14:42:00,2025-08-11T14:42:00,America/New_York,minute,,RECALLED,personal_symbolic,Family-crest signature practice,User-reported timestamp in current discussion,S2,INCLUDED,AUGUST_BUILDUP,Exact timestamp remains recalled until artifact-verified,2025-08-11T18:42:00+00:00,2025-08-11T18:42:00+00:00,8.0,0,Full Moon,2025-08-09T07:55:00+00:00,58.78333333333333
USR_2025_08_14_1557,2025-08-14T15:57:00,2025-08-14T15:57:00,America/New_York,minute,,RECALLED,personal_symbolic,Hand-drawn name and signature,User-reported timestamp in current discussion,S2,INCLUDED,AUGUST_BUILDUP,Exact timestamp remains recalled until artifact-verified,2025-08-14T19:57:00+00:00,2025-08-14T19:57:00+00:00,5.0,0,Last Quarter,2025-08-16T05:12:00+00:00,33.25
USR_2026_04_06,2026-04-06T00:00:00,2026-04-07T00:00:00,America/New_York,civil_day,,RECALLED,personal_observation,Basement onset report,Earlier user report carried into the current exploratory date cluster,S2,INCLUDED,APRIL_CLUSTER,Date-only recalled event,2026-04-06T04:00:00+00:00,2026-04-07T04:00:00+00:00,13.0,0,Last Quarter,2026-04-10T04:51:00+00:00,72.85
USR_2026_04_19,2026-04-19T00:00:00,2026-04-20T00:00:00,America/New_York,civil_day,,RECALLED,personal_observation,Protective dog event report,Earlier user report carried into the current exploratory date cluster,S2,INCLUDED,APRIL_CLUSTER,Date-only recalled event; not a row in the master map,2026-04-19T04:00:00+00:00,2026-04-20T04:00:00+00:00,0.0,1,New Moon,2026-04-17T11:52:00+00:00,40.13333333333333
TECH_2026_08_19_GAP,2026-08-19T10:00:00,2026-08-19T12:00:00,Asia/Tomsk,two_hour_interval,,DIRECT,technical_instrument,Sonogram recording gap,Uploaded SOS70 screenshot,,EXCLUDED_MISSING_DATA,SOS70_AUG2026,"Black interval is absence of recorded data, not an event signal",,,,,,,
TECH_2026_08_20_0830,2026-08-20T08:30:00,2026-08-20T08:30:00,Asia/Tomsk,approx_30_minutes,,DIRECT,technical_instrument,Sonogram vertical broadband feature,Uploaded SOS70 screenshot; time estimated from chart axis,T1,INCLUDED,SOS70_AUG2026,Descriptive timing only; no inferential test at n=1,2026-08-20T01:30:00+00:00,2026-08-20T01:30:00+00:00,1.0,0,First Quarter,2026-08-20T02:46:00+00:00,1.2666666666666666
