event_id,event_start_local,event_end_local,timezone,timestamp_precision,artifact_timestamp_utc,evidence_grade,lane,event_day_label,source_basis,cohort_memberships,inclusion_status,dependency_group,notes
"MAP_2026_07_08_BROAD","","","America/New_York","broad_era","","DIRECT","constitutional_audit","Audit provenance and role-revocation era","Master map row: Jul-Aug 2026","","EXCLUDED_BROAD","","Broad multi-month era retained but not scored"
"MAP_2026_08_ENDPOINT","","","America/New_York","undated_month","","CURRENT","constitutional_architecture","OMNIBUS v5.77 endpoint","Master map row: Aug 2026","","EXCLUDED_UNDATED","","Current endpoint has no exact event date"
"USR_2025_08_09_2215","2025-08-09T22:15:00","2025-08-09T22:15:00","America/New_York","minute","","RECALLED","personal_symbolic","Thumbprint and signature act","User-reported timestamp in current discussion","S2","INCLUDED","AUG09_SIGNATURE_CLUSTER","Exact timestamp remains recalled until artifact-verified"
"USR_2025_08_09_2216","2025-08-09T22:16:00","2025-08-09T22:16:00","America/New_York","minute","","RECALLED","personal_symbolic","Challenge statement recorded","User-reported timestamp in current discussion","","EXCLUDED_DEPENDENT","AUG09_SIGNATURE_CLUSTER","Retained but not independently counted from the 22:15 event"
"USR_2025_08_11_1442","2025-08-11T14:42:00","2025-08-11T14:42:00","America/New_York","minute","","RECALLED","personal_symbolic","Family-crest signature practice","User-reported timestamp in current discussion","S2","INCLUDED","AUGUST_BUILDUP","Exact timestamp remains recalled until artifact-verified"
"USR_2025_08_14_1557","2025-08-14T15:57:00","2025-08-14T15:57:00","America/New_York","minute","","RECALLED","personal_symbolic","Hand-drawn name and signature","User-reported timestamp in current discussion","S2","INCLUDED","AUGUST_BUILDUP","Exact timestamp remains recalled until artifact-verified"
"USR_2026_04_06","2026-04-06T00:00:00","2026-04-07T00:00:00","America/New_York","civil_day","","RECALLED","personal_observation","Basement onset report","Earlier user report carried into the current exploratory date cluster","S2","INCLUDED","APRIL_CLUSTER","Date-only recalled event"
"USR_2026_04_19","2026-04-19T00:00:00","2026-04-20T00:00:00","America/New_York","civil_day","","RECALLED","personal_observation","Protective dog event report","Earlier user report carried into the current exploratory date cluster","S2","INCLUDED","APRIL_CLUSTER","Date-only recalled event; not a row in the master map"
"TECH_2026_08_19_GAP","2026-08-19T10:00:00","2026-08-19T12:00:00","Asia/Tomsk","two_hour_interval","","DIRECT","technical_instrument","Sonogram recording gap","Uploaded SOS70 screenshot","","EXCLUDED_MISSING_DATA","SOS70_AUG2026","Black interval is absence of recorded data, not an event signal"
"TECH_2026_08_20_0830","2026-08-20T08:30:00","2026-08-20T08:30:00","Asia/Tomsk","approx_30_minutes","","DIRECT","technical_instrument","Sonogram vertical broadband feature","Uploaded SOS70 screenshot; time estimated from chart axis","T1","INCLUDED","SOS70_AUG2026","Descriptive timing only; no inferential test at n=1"
